"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Northwest Territories","2016A000261","Total, all occupations","No minimum level of education required","Job vacancies","Number","223","units","0","v105592411","13.1.5.1","335","D","","","0"
"2023-01","Northwest Territories","2016A000261","Total, all occupations","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105592414","13.1.6.1","225","D","","","0"
"2023-01","Northwest Territories","2016A000261","Total, all occupations","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105592417","13.1.7.1","380","D","","","0"
"2023-01","Northwest Territories","2016A000261","Total, all occupations","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105592426","13.1.10.1","65","E","","","0"
"2023-01","Northwest Territories","2016A000261","Total, all occupations","Bachelor's degree","Job vacancies","Number","223","units","0","v105592432","13.1.12.1","305","D","","","0"
"2023-01","Northwest Territories","2016A000261","Total, all occupations","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105592435","13.1.13.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Management occupations [0]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105592540","13.2.4.1","120","D","","","0"
"2023-01","Northwest Territories","2016A000261","Management occupations [0]","No minimum level of education required","Job vacancies","Number","223","units","0","v105592543","13.2.5.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Management occupations [0]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105592546","13.2.6.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Management occupations [0]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105592549","13.2.7.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Management occupations [0]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105592558","13.2.10.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Management occupations [0]","Bachelor's degree","Job vacancies","Number","223","units","0","v105592564","13.2.12.1","50","E","","","0"
"2023-01","Northwest Territories","2016A000261","Management occupations [0]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105592567","13.2.13.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Business, finance and administration occupations [1]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105602044","13.3.4.1","135","D","","","0"
"2023-01","Northwest Territories","2016A000261","Business, finance and administration occupations [1]","No minimum level of education required","Job vacancies","Number","223","units","0","v105602047","13.3.5.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Business, finance and administration occupations [1]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105602050","13.3.6.1","45","E","","","0"
"2023-01","Northwest Territories","2016A000261","Business, finance and administration occupations [1]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105602053","13.3.7.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Business, finance and administration occupations [1]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105602062","13.3.10.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Business, finance and administration occupations [1]","Bachelor's degree","Job vacancies","Number","223","units","0","v105602068","13.3.12.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Business, finance and administration occupations [1]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105602071","13.3.13.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Natural and applied sciences and related occupations [2]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105611680","13.4.4.1","110","E","","","0"
"2023-01","Northwest Territories","2016A000261","Natural and applied sciences and related occupations [2]","No minimum level of education required","Job vacancies","Number","223","units","0","v105611683","13.4.5.1","0","","","","0"
"2023-01","Northwest Territories","2016A000261","Natural and applied sciences and related occupations [2]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105611686","13.4.6.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Natural and applied sciences and related occupations [2]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105611689","13.4.7.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Natural and applied sciences and related occupations [2]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105611698","13.4.10.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Natural and applied sciences and related occupations [2]","Bachelor's degree","Job vacancies","Number","223","units","0","v105611704","13.4.12.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Natural and applied sciences and related occupations [2]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105611707","13.4.13.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Health occupations [3]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105622240","13.5.4.1","240","E","","","0"
"2023-01","Northwest Territories","2016A000261","Health occupations [3]","No minimum level of education required","Job vacancies","Number","223","units","0","v105622243","13.5.5.1","0","","","","0"
"2023-01","Northwest Territories","2016A000261","Health occupations [3]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105622246","13.5.6.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Health occupations [3]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105622249","13.5.7.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Health occupations [3]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105622258","13.5.10.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Health occupations [3]","Bachelor's degree","Job vacancies","Number","223","units","0","v105622264","13.5.12.1","150","E","","","0"
"2023-01","Northwest Territories","2016A000261","Health occupations [3]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105622267","13.5.13.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in education, law and social, community and government services [4]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105628840","13.6.4.1","325","E","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in education, law and social, community and government services [4]","No minimum level of education required","Job vacancies","Number","223","units","0","v105628843","13.6.5.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in education, law and social, community and government services [4]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105628846","13.6.6.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in education, law and social, community and government services [4]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105628849","13.6.7.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in education, law and social, community and government services [4]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105628858","13.6.10.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in education, law and social, community and government services [4]","Bachelor's degree","Job vacancies","Number","223","units","0","v105628864","13.6.12.1","60","E","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in education, law and social, community and government services [4]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105628867","13.6.13.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in art, culture, recreation and sport [5]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105635968","13.7.4.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in art, culture, recreation and sport [5]","No minimum level of education required","Job vacancies","Number","223","units","0","v105635971","13.7.5.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in art, culture, recreation and sport [5]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105635974","13.7.6.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in art, culture, recreation and sport [5]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105635977","13.7.7.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in art, culture, recreation and sport [5]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105635986","13.7.10.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in art, culture, recreation and sport [5]","Bachelor's degree","Job vacancies","Number","223","units","0","v105635992","13.7.12.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Occupations in art, culture, recreation and sport [5]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105635995","13.7.13.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Sales and service occupations [6]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105641776","13.8.4.1","270","D","","","0"
"2023-01","Northwest Territories","2016A000261","Sales and service occupations [6]","No minimum level of education required","Job vacancies","Number","223","units","0","v105641779","13.8.5.1","195","E","","","0"
"2023-01","Northwest Territories","2016A000261","Sales and service occupations [6]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105641782","13.8.6.1","65","E","","","0"
"2023-01","Northwest Territories","2016A000261","Sales and service occupations [6]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105641785","13.8.7.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Sales and service occupations [6]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105641794","13.8.10.1","0","","","","0"
"2023-01","Northwest Territories","2016A000261","Sales and service occupations [6]","Bachelor's degree","Job vacancies","Number","223","units","0","v105641800","13.8.12.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Sales and service occupations [6]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105641803","13.8.13.1","0","","","","0"
"2023-01","Northwest Territories","2016A000261","Trades, transport and equipment operators and related occupations [7]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105652600","13.9.4.1","185","E","","","0"
"2023-01","Northwest Territories","2016A000261","Trades, transport and equipment operators and related occupations [7]","No minimum level of education required","Job vacancies","Number","223","units","0","v105652603","13.9.5.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Trades, transport and equipment operators and related occupations [7]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105652606","13.9.6.1","","F","","","0"
"2023-01","Northwest Territories","2016A000261","Trades, transport and equipment operators and related occupations [7]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105652609","13.9.7.1","100","E","","","0"
"2023-01","Northwest Territories","2016A000261","Trades, transport and equipment operators and related occupations [7]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105652618","13.9.10.1","0","","","","0"
"2023-01","Northwest Territories","2016A000261","Trades, transport and equipment operators and related occupations [7]","Bachelor's degree","Job vacancies","Number","223","units","0","v105652624","13.9.12.1","0","","","","0"
"2023-01","Northwest Territories","2016A000261","Trades, transport and equipment operators and related occupations [7]","University certificate, diploma or degree above the bachelor's level","Job vacancies","Number","223","units","0","v105652627","13.9.13.1","0","","","","0"
"2023-01","Northwest Territories","2016A000261","Natural resources, agriculture and related production occupations [8]","Minimum level of education required, all levels","Job vacancies","Number","223","units","0","v105666724","13.10.4.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Natural resources, agriculture and related production occupations [8]","No minimum level of education required","Job vacancies","Number","223","units","0","v105666727","13.10.5.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Natural resources, agriculture and related production occupations [8]","High school diploma or equivalent","Job vacancies","Number","223","units","0","v105666730","13.10.6.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Natural resources, agriculture and related production occupations [8]","Non-university certificate or diploma","Job vacancies","Number","223","units","0","v105666733","13.10.7.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Natural resources, agriculture and related production occupations [8]","University certificate or diploma below bachelor's level","Job vacancies","Number","223","units","0","v105666742","13.10.10.1","","x","","","0"
"2023-01","Northwest Territories","2016A000261","Natural resources, agriculture and related production occupations [8]","Bachelor's degree","Job vacancies","Number","223","units","0","v105666748","13.10.12.1","","x","","","0"
